Method,Parameter Types,Param Sizes,Total Param Size
"pt.ist.socialsoftware.edition.text.domain.GapText_Base.set$reason(pt.ist.socialsoftware.edition.text.domain.GapText$GapReason, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['pt.ist.socialsoftware.edition.text.domain.GapText$GapReason', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$5.VirtualEditionInter_Base$5(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.WebSecurityConfig.log,[],[],0
"pt.ist.socialsoftware.edition.text.domain.RefText_Base.access$100(pt.ist.socialsoftware.edition.text.domain.RefText_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.text.domain.RefText_Base', 'boolean']","[16, 1]",17
org.springframework.security.core.context.SecurityContext.getAuthentication(): org.springframework.security.core.Authentication,[],[],0
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base.getHeteronymWeight(): double,[],[],0
pt.ist.socialsoftware.edition.text.domain.AddText_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
"pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.access$000(pt.ist.fenixframework.DomainFenixFrameworkRoot_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.fenixframework.DomainFenixFrameworkRoot_Base', 'boolean']","[16, 1]",17
org.springframework.security.core.context.SecurityContextHolder.getContext(): org.springframework.security.core.context.SecurityContext,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.getClassificationGameCount() : int,[],[],0
pt.ist.fenixframework.adt.bplustree.InnerNode_Base$DO_State.subNodes,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.SigninUtils.SigninUtils(),[],[],0
pt.ist.socialsoftware.edition.text.api.dto.SourceDto.getType(): pt.ist.socialsoftware.edition.text.domain.Source$SourceType,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUserDetails.isCredentialsNonExpired() : boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.RefText_Base.get$oidScholarInter(): java.lang.Long,[],[],0
