Method,Parameter Types,Param Sizes,Total Param Size
"pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.getInter(org.springframework.ui.Model, java.lang.String, java.lang.String[]) : java.lang.String","['org.springframework.ui.Model', 'java.lang.String', 'java.lang.String[]']","[16, 24, 24]",64
pt.ist.fenixframework.adt.bplustree.LeafNodeArray.role$$next,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.setFragment(pt.ist.socialsoftware.edition.text.domain.Fragment): void,['pt.ist.socialsoftware.edition.text.domain.Fragment'],[16],16
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate_Base.removePublicConsistencyPredicateOverriding(pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate): void,['pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate'],[16],16
pt.ist.fenixframework.DomainRoot_Base$DomainRootHasRecommendationModule.static {},[],[],0
pt.ist.socialsoftware.edition.text.domain.UnclearText_Base.get$reason(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$DO_State.quote,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualAdminController.removeTweets(org.springframework.ui.Model) : java.lang.String,['org.springframework.ui.Model'],[16],16
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.getClassificationGameRound(): java.util.Set,[],[],0
pt.ist.fenixframework.DomainRoot_Base.getModuleCount() : int,[],[],0
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$DO_State.InfoRange_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.initInstance(): void,[],[],0
"pt.ist.socialsoftware.edition.user.domain.RegistrationToken_Base$2.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
org.springframework.web.context.request.NativeWebRequest.getNativeRequest(java.lang.Class): java.lang.Object,['java.lang.Class'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.config.HttpSessionConfig.getActiveSessions(): java.util.List,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.SelectedBy_Base.role$$virtualEdition,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.getTagId() : java.lang.String,[],[],0
pt.ist.fenixframework.data.InstallationData_Base$DomainRootHasInstallationData.static {},[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base$DO_State.initialized,[],[],0
pt.ist.socialsoftware.edition.text.domain.RdgText_Base.addScholarInter(pt.ist.socialsoftware.edition.text.domain.ScholarInter) : void,['pt.ist.socialsoftware.edition.text.domain.ScholarInter'],[16],16
pt.ist.socialsoftware.edition.text.domain.Source_Base$5.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.config.HttpSessionConfig$1.this$0,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDCreateClassificationGameException.getDate(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.checkMultiplicityOfRoot() : boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.ParagraphText_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.getPlayerSet(): java.util.Set,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.getInterCompare(java.lang.String[], boolean, boolean, org.springframework.ui.Model): java.lang.String","['java.lang.String[]', 'boolean', 'boolean', 'org.springframework.ui.Model']","[24, 1, 1, 16]",42
"pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.LdoDDate, pt.ist.socialsoftware.edition.text.domain.Source): void","['pt.ist.socialsoftware.edition.text.domain.LdoDDate', 'pt.ist.socialsoftware.edition.text.domain.Source']","[16, 16]",32
pt.ist.socialsoftware.edition.user.domain.Role_Base.removeUsers(pt.ist.socialsoftware.edition.user.domain.User): void,['pt.ist.socialsoftware.edition.user.domain.User'],[16],16
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.getDimensionsSet() : java.util.Set,[],[],0
pt.ist.fenixframework.consistencyPredicates.PrivateConsistencyPredicate_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.FeTextRequiresInterface(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.getVirtualEditionByExternalId(java.lang.String): pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.Fragment_Base(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.setParentSection(pt.ist.socialsoftware.edition.virtual.domain.Section) : void,['pt.ist.socialsoftware.edition.virtual.domain.Section'],[16],16
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.editVirtualEdition(org.springframework.ui.Model, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String, java.lang.String, java.lang.String, java.lang.String, boolean, boolean, boolean, boolean, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String): java.lang.String","['org.springframework.ui.Model', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String', 'java.lang.String', 'java.lang.String', 'java.lang.String', 'boolean', 'boolean', 'boolean', 'boolean', 'java.lang.String', 'java.lang.String', 'java.lang.String', 'java.lang.String', 'java.lang.String']","[16, 24, 24, 24, 24, 24, 1, 1, 1, 1, 24, 24, 24, 24, 24]",260
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base$2.ExpertEdition_Base$2(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getUserFromExternalId(java.lang.String) : pt.ist.socialsoftware.edition.user.api.dto.UserDto,['java.lang.String'],[24],24
pt.ist.fenixframework.data.InstallationData_Base.get$oidDomainRoot(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.setClassificationModule(pt.ist.socialsoftware.edition.game.domain.ClassificationModule): void,['pt.ist.socialsoftware.edition.game.domain.ClassificationModule'],[16],16
pt.ist.socialsoftware.edition.text.domain.AltText_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.manageVirtualEdition(org.springframework.ui.Model, java.lang.String): java.lang.String","['org.springframework.ui.Model', 'java.lang.String']","[16, 24]",40
pt.ist.socialsoftware.edition.ldod.frontend.reading.ReadingRecommendation.getCurrentInterpretation() : java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.virtual.domain.Category_Base.access$000(pt.ist.socialsoftware.edition.virtual.domain.Category_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.virtual.domain.Category_Base', 'boolean']","[16, 1]",17
"pt.ist.fenixframework.adt.bplustree.AbstractNode_Base$1.setValue(pt.ist.fenixframework.adt.bplustree.AbstractNode, pt.ist.fenixframework.adt.bplustree.InnerNode): void","['pt.ist.fenixframework.adt.bplustree.AbstractNode', 'pt.ist.fenixframework.adt.bplustree.InnerNode']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.utils.Bootstrap.loadUsersFromFile(): void,[],[],0
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule_Base.getRelationDomainRootHasRecommendationModule() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$DO_State.virtualModule4Virtual,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.getRelationScholarInterHasDate(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
"pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
"pt.ist.fenixframework.adt.bplustree.InnerNode.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.importVirtualEditionFragmentFromTEI(java.io.File) : java.lang.String,['java.io.File'],[16],16
pt.ist.fenixframework.adt.bplustree.DomainLeafNode_Base.DomainLeafNode_Base(),[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
"pt.ist.socialsoftware.edition.text.domain.Source_Base.set$idno(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.handleAttemptToDeleteConnectedObject(java.lang.String): void,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.ldod.frontend.search.FeSearchRequiresInterface.advancedSearch(pt.ist.socialsoftware.edition.search.api.dto.SearchDto, java.lang.String) : pt.ist.socialsoftware.edition.search.api.dto.AdvancedSearchResultDto","['pt.ist.socialsoftware.edition.search.api.dto.SearchDto', 'java.lang.String']","[16, 24]",40
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
"pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.PrintedSource_Base.getJournal(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationSearchJson.AnnotationSearchJson(java.util.List),['java.util.List'],[24],24
org.springframework.web.context.request.RequestContextHolder.getRequestAttributes(): org.springframework.web.context.request.RequestAttributes,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base.set$name(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.getSubSectionsCount(): int,[],[],0
pt.ist.socialsoftware.edition.text.domain.AppText_Base.setType(pt.ist.socialsoftware.edition.text.domain.TextPortion$VariationType) : void,['pt.ist.socialsoftware.edition.text.domain.TextPortion$VariationType'],[16],16
"pt.ist.socialsoftware.edition.user.domain.User_Base.access$300(pt.ist.socialsoftware.edition.user.domain.User_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.user.domain.User_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.user.domain.UserModule_Base$4.UserModule_Base$4(),[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base.getRelationClassificationGameParticipantInGameRounds() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.setHeteronym(pt.ist.socialsoftware.edition.text.domain.Heteronym): void,['pt.ist.socialsoftware.edition.text.domain.Heteronym'],[16],16
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.set$expertEditions(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.LastTwitterID_Base.getVicenteLastTwitterID(): long,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextModule.role$$heteronyms,[],[],0
pt.ist.fenixframework.adt.bplustree.BPlusTree_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.fenixframework.adt.bplustree.AbstractNodeArray_Base.getParent(): pt.ist.fenixframework.adt.bplustree.InnerNodeArray,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter.role$$section,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy.getRelationTaxonomyHasCategories(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.api.dto.HeteronymDto.getXmlId(): java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.text.domain.AddText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.fenixframework.DomainRoot.role$$userModule,[],[],0
pt.ist.socialsoftware.edition.text.domain.PhysNote_Base.getTextPortionSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$TextPortionHasRend.TextPortion_Base$TextPortionHasRend(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base.get$oidEdition(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base.setUiComponent(pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent) : void,['pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent'],[16],16
pt.ist.socialsoftware.edition.text.domain.ScholarInter.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.getTitle(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.get$oidParentText(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base.getClassificationGameParticipantSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.role$$firstChildText,[],[],0
pt.ist.fenixframework.adt.bplustree.AbstractNode_Base.checkDisconnected(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getRelationVirtualModuleHasVirtualEditions() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
"org.springframework.util.MultiValueMap.add(java.lang.Object, java.lang.Object): void","['java.lang.Object', 'java.lang.Object']","[16, 16]",32
"pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$12.beforeAdd(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.InnerNodeArray_Base.setSubNodes(pt.ist.fenixframework.adt.bplustree.DoubleArray): void,['pt.ist.fenixframework.adt.bplustree.DoubleArray'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.APIUserController.APIUserController(),[],[],0
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule_Base.getRecommendationWeightsCount(): int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.reloadableResourceBundleMessageSource() : org.springframework.context.support.ReloadableResourceBundleMessageSource,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$TextPortionHasRend.relation,[],[],0
"pt.ist.fenixframework.DomainRoot_Base$4.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$8.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.reactUi.ReactUiController.getMultipleVirtualInfo(java.lang.String) : org.springframework.http.ResponseEntity,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.text.domain.Fragment_Base$2.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.addClassificationGame(pt.ist.socialsoftware.edition.game.domain.ClassificationGame) : void,['pt.ist.socialsoftware.edition.game.domain.ClassificationGame'],[16],16
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.static {},[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base$AnnotationHasRanges.static {},[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base.setName(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.config.CustomScopeConfig.beanFactoryPostProcessor() : org.springframework.beans.factory.config.BeanFactoryPostProcessor,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.dto.JWTAuthenticationDto.setTokenType(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.PermissionDTO.getUpdate() : java.util.List,[],[],0
org.springframework.social.connect.ConnectionData.getDisplayName(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.PbText_Base$1.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
"pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base$2.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.TextModule_Base$DO_State.root,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.getVirtualEditionInterSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.setLdoDDate(pt.ist.socialsoftware.edition.text.domain.LdoDDate): void,['pt.ist.socialsoftware.edition.text.domain.LdoDDate'],[16],16
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base$2.getSet(pt.ist.socialsoftware.edition.text.domain.ManuscriptSource): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.socialsoftware.edition.text.domain.ManuscriptSource'],[16],16
"pt.ist.socialsoftware.edition.user.domain.Role_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
"pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto.canRemoveMember(java.lang.String, java.lang.String): boolean","['java.lang.String', 'java.lang.String']","[24, 24]",48
pt.ist.socialsoftware.edition.text.domain.Fragment_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.Surface_Base$1.getValue(pt.ist.socialsoftware.edition.text.domain.Surface): pt.ist.socialsoftware.edition.text.domain.Facsimile,['pt.ist.socialsoftware.edition.text.domain.Surface'],[16],16
pt.ist.esw.advice.Advice.perform(java.util.concurrent.Callable): java.lang.Object,['java.util.concurrent.Callable'],[16],16
"pt.ist.socialsoftware.edition.ldod.frontend.utils.PermissionDTO.PermissionDTO(pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto, java.lang.String)","['pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto', 'java.lang.String']","[16, 24]",40
pt.ist.socialsoftware.edition.text.domain.PrintedSource_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base$DO_State.title,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.HttpSessionConfig.httpSessionListener() : javax.servlet.http.HttpSessionListener,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.cancelParticipationSubmission(org.springframework.ui.Model, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String) : java.lang.String","['org.springframework.ui.Model', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String']","[16, 24, 24]",64
"pt.ist.socialsoftware.edition.ldod.frontend.user.security.LdoDPermissionEvaluator.hasPermission(org.springframework.security.core.Authentication, java.lang.Object, java.lang.Object): boolean","['org.springframework.security.core.Authentication', 'java.lang.Object', 'java.lang.Object']","[16, 16, 16]",48
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.removeRend(pt.ist.socialsoftware.edition.text.domain.Rend) : void,['pt.ist.socialsoftware.edition.text.domain.Rend'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base$ExpertEditionHasExpertEditionInters.relation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.setEditor(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.DelText_Base$DO_State.how,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.role$$classificationModule,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.FeGameRequiresInterface.getVirtualEditionInterTitle(java.lang.String): java.lang.String,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository.advice$addConnection,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.setXmlId(java.lang.String): void,['java.lang.String'],[24],24
"pt.ist.fenixframework.DomainRoot_Base$5.setValue(pt.ist.fenixframework.DomainRoot, pt.ist.fenixframework.DomainFenixFrameworkRoot): void","['pt.ist.fenixframework.DomainRoot', 'pt.ist.fenixframework.DomainFenixFrameworkRoot']","[16, 16]",32
pt.ist.socialsoftware.edition.user.domain.UserModule_Base.getRelationDomainRootHasUserModule(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.getEndPage() : int,[],[],0
pt.ist.socialsoftware.edition.text.domain.SpaceText_Base.getDim(): pt.ist.socialsoftware.edition.text.domain.SpaceText$SpaceDim,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.FeGameRequiresInterface.getVirtualEditionExternalIdByAcronym(java.lang.String) : java.lang.String,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.setSection(pt.ist.socialsoftware.edition.virtual.domain.Section): void,['pt.ist.socialsoftware.edition.virtual.domain.Section'],[16],16
"pt.ist.fenixframework.DomainRoot_Base.get$$relationList(java.lang.String, pt.ist.fenixframework.dml.runtime.Relation): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList","['java.lang.String', 'pt.ist.fenixframework.dml.runtime.Relation']","[24, 16]",40
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.getRelationTextModuleHasNullEdition(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate_Base$PublicConsistencyPredicateOverriddenPublicConsistencyPredicatesOverriding.static {},[],[],0
pt.ist.fenixframework.adt.bplustree.BPlusTree_Base.role$$root,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.get$predicate(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.getScholarInterByExternalId(java.lang.String): pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto,['java.lang.String'],[24],24
pt.ist.fenixframework.DomainBPlusTreeJVSTM_Base.initInstance(): void,[],[],0
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base$1.getValue(pt.ist.fenixframework.adt.bplustree.LeafNodeArray): pt.ist.fenixframework.adt.bplustree.LeafNodeArray,['pt.ist.fenixframework.adt.bplustree.LeafNodeArray'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.SelectedBy_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.setTweetText(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationSearchJson.setRows(java.util.List) : void,['java.util.List'],[24],24
pt.ist.socialsoftware.edition.user.domain.User_Base.handleAttemptToDeleteConnectedObject(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.fenixframework.DomainMetaObject_Base.getDependingDependenceRecordSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarEdition.init$Instance(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.editTaxonomy(org.springframework.ui.Model, java.lang.String, boolean, boolean, boolean) : java.lang.String","['org.springframework.ui.Model', 'java.lang.String', 'boolean', 'boolean', 'boolean']","[16, 24, 1, 1, 1]",43
"pt.ist.socialsoftware.edition.text.domain.Source_Base$3.setValue(pt.ist.socialsoftware.edition.text.domain.Source, pt.ist.socialsoftware.edition.text.domain.Facsimile): void","['pt.ist.socialsoftware.edition.text.domain.Source', 'pt.ist.socialsoftware.edition.text.domain.Facsimile']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.utils.dto.EditionDto.acronym,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.getRelationTag2VirtualEditionInter(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getSectionsSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getVirtualEditionOfCategoryByExternalId(java.lang.String) : pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Surface_Base$DO_State.facsimile,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.user.validator.ChangePasswordValidator.validate(java.lang.Object, org.springframework.validation.Errors): void","['java.lang.Object', 'org.springframework.validation.Errors']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.user.UserController.passwordForm() : pt.ist.socialsoftware.edition.ldod.frontend.user.forms.ChangePasswordForm,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base.getOption(): java.util.Set,[],[],0
pt.ist.fenixframework.DomainMetaClass_Base.get$oidExistingDomainMetaObjects(): java.lang.Long,[],[],0
